number,code,name,qualification,duration,conditions
1,ACP1801,بناء فً التراث المبنً  ,3,18,الطور المتوسط
2,ACP1802, تقنٌٌة الحفاظ على التراث المبنً  ,3,18,الرابعة متوسط
3,ACP1804,تقنً فً الحفاظ على التراث المبنً  ,4,24,الثانية ثانوي
4,ACP1805,تقنً فً ترمٌم التراث المبنً  ,4,24,الثانية ثانوي
5,ACP0701,ترمٌٌم المواقع الأثرٌة و المعالم التذكارٌة ,5,30,الثالثة ثانوي
6,ACP1806,الحفاظ  على التراث المبنً  ,5,30,الثالثة ثانوي
7,ACP1807,تسٌ ٌر أشغال ترمٌم التراث المبنً  ,5,30,الثالثة ثانوي
1,AGR1901,المحاصٌٌل تحت الدفٌٌئة ,2,12,الطور الابتدائي
2,AGR0701,زراعة الخضروات ,2,12,الطور الابتدائي
3,AGR0702,زراعة الأشجار الُمُـثـمرة ,2,12,الطور الابتدائي
4,AGR0703,البـسـتـنـة ,2,12,الطور الابتدائي
5,AGR0704,الزراعات الكبـرى ,2,12,الطور الابتدائي
6,AGR0705,الزراعــات الصحراوٌٌة ,2,12,الطور الابتدائي
7,AGR0706,المشتـلـة ,2,12,الطور الابتدائي
8,AGR1203,زراعة الحبــوب ,2,12,الطور الابتدائي
9,AGR1205,زراعة الكـروم ,2,12,الطور الابتدائي
10,AGR1206,زراعة الغابـات ,2,12,الطور الابتدائي
11,AGR1207,"زراعة النباتات الطبٌة ،العطرٌة و الأعشاب ",2,12,الطور الابتدائي
12,AGR1902,زراعة النخٌل    ,2,12,الطور الابتدائي
13,AGR1903,تركٌب وصٌانة العشب الر اضً  ,5,30,الثالثة ثانوي
14,AGR0719,البستنـة والمساحـات الخضـراء ,3,12,الطور الابتدائي
15,AGR0708,زراعة الخضــروات ,4,24,الثانية ثانوي
16,AGR0709,زراعـة الأشجـار الُمُـثمـرة ,5,30,الثالثة ثانوي
17,AGR0710,مُـصـمّـم البسـات ن ,5,30,الثالثة ثانوي
18,AGR0711,الزراعات الكبـرى ,5,30,الثالثة ثانوي
19,AGR0712,حمـاٌٌـة النبـاتات ,5,30,الثالثة ثانوي
20,AGR1210,زراعة الكـروم ,5,30,الثالثة ثانوي
21,AGR1211,زراعة الغابات ,5,30,الثالثة ثانوي
22,AGR1212,"زراعة النباتات الطبٌة ،العطرٌة و الأعشاب  ",5,30,الثالثة ثانوي
23,AGR1213,زراعة  النخٌل ,5,30,الثالثة ثانوي
24,AGR2121,تـربٌــة الـدواجـن ,1,12,الطور الابتدائي
25,AGR2121,تـربٌــة الأرانـب ,1,12,الطور الابتدائي
26,AGR1201,تـربٌــة الإبــل ,1,12,بدون مستوى
27,AGR1202,حــالب الأبقــار ,1,12,الطور الابتدائي
28,AGR0713,تربٌة النحـل ,2,12,الطور الابتدائي
29,AGR0714,تربٌة الحٌوانات المجترة ,2,12,الطور الابتدائي
30,AGR0715,تـربٌــة الحٌـوانات الصغٌٌـرة ,2,12,الطور الابتدائي
31,AGR0707,تـربٌــة الخـٌــول ,2,12,الطور الابتدائي
32,AGR1208,تـربٌــة الأبـقــار ,2,12,الطور الابتدائي
33,AGR1209,تـربٌــة الأغنــام والمعــز ,2,12,الطور الابتدائي
34,AGR0716,الإنتاج الحٌ وانً / خيار8 تربٌة  الحـٌـوانات المجتـرة  ,5,30,الثالثة ثانوي
35,AGR0717,الإنتاج الحٌ وانً / خيار8 تربٌة الحـٌـوانات الصغٌٌرة ,5,30,الثالثة ثانوي
36,AGR0718,مساعد فً الصحــة الحٌ ـوانٌٌــة ,5,30,الثالثة ثانوي
1,AIG0701,تشغٌل آلات الطبع ه لٌٌو ,2,12,الرابعة متوسط
2,AIG0702,تشغٌل آلات الطبع فلٌكسو ,2,12,الرابعة متوسط
3,AIG0703,تشغٌل آلات الطبع  أوفست ,2,12,الرابعة متوسط
4,AIG0704,تشغٌل آلات التجلٌد الصناعً  ,3,18,الرابعة متوسط
5,AIG0705,الطبع الحرٌٌري ,3,18,الرابعة متوسط
6,AIG1201,تشغٌل وسائل الطبع / خيار 8 فلٌكسو و ه لٌو ,3,18,الرابعة متوسط
7,AIG1202,التجلٌد الفنً و ترمٌم الكتب  ,4,24,الثانية ثانوي
8,AIG0706,تشغٌل آلات الطبع ,4,24,الثانية ثانوي
9,AIG0707,النشر ,5,30,الثالثة ثانوي
10,AIG1203,مخطط معلوماتً و مصمم ,5,30,الثالثة ثانوي
11,AIG1204,الاتصال و الصناعات المطبعٌة / خيار 8  دراسة و انجاز المنتجات التخط ط ة ,5,30,الثالثة ثانوي
12,AIG1205,الاتصال و الصناعات المطبعٌة /خيار8  دراسة و انجاز المنتجات المطبعٌة  ,5,30,الثالثة ثانوي
13,AIG1206,الاتصال المطبعً / خيار8  ابتكار لوازم التغلٌٌــف ,5,30,الثالثة ثانوي
1,ART0701,النقش على الخشب ,2,12,الطور الابتدائي
2,ART0702,الحدادة الفنٌة ,2,12,الطور الابتدائي
3,ART0703,نقش على الجبس ,2,12,الطور الابتدائي
4,ART0704,صناعة الخزف  / تخصص فخار ,2,12,الطور الابتدائي
5,ART0705,النسٌج التقلٌدي ,2,12,الطور الابتدائي
6,ART0706,النُحاسٌات ,2,12,الطور الابتدائي
7,ART0707, السلالة ,2,12,الطور الابتدائي
8,ART0708,النقش على الرخام و الحجر ,2,12,الطور الابتدائي
9,ART0709,صناعة الحلً التقلٌدي ,2,12,الطور الابتدائي
10,ART0710,الطرز ,2,12,الطور الابتدائي
11,ART0711,"طلاء ،حروف و زخرفة ",2,12,الطور الابتدائي
12,ART0712,الزخرفة على الزجاج ,2,12,الطور الابتدائي
13,ART1210,النفخ على الزجاج ,2,12,الطور الابتدائي
14,ART0713,صناعة الخزف / تخصص الزلٌج ,2,12,الطور الابتدائي
15,ART1201, المنسوج ,2,12,الطور الابتدائي
16,ART1202,الفرٌدة ,2,12,الطور الابتدائي
17,ART1801,تنجٌد ,2,12,الطور الابتدائي
18,ART1203,الطرز التقلٌدي ,2,12,الطور الابتدائي
19,ART1204,الفخار التقلٌدي ,2,12,الطور الابتدائي
20,ART1205,صناعة السروج ,2,12,الطور الابتدائي
21,ART1206,المنتجات الجلدٌة التقل دٌٌة ,2,12,الطور الابتدائي
