number,code,name,qualification,duration,conditions
1,ACP1801,بناء في التراث المبني  ,3,18,الطور المتوسط
2,ACP1802,تقنية الحفاظ على التراث المبني,3,18,الرابعة متوسط
3,ACP1804,تقني في الحفاظ على التراث المبني,4,24,الثانية ثانوي
4,ACP1805,تقني في ترميم التراث المبني,4,24,الثانية ثانوي
5,ACP0701,ترميم المواقع الأثرية و المعالم التذكارية ,5,30,الثالثة ثانوي
6,ACP1806,الحفاظ على التراث المبني,5,30,الثالثة ثانوي
7,ACP1807,تسيير أشغال ترميم التراث المبني,5,30,الثالثة ثانوي
1,AGR1901,المحاصيل تحت الدفيئة ,2,12,الطور الابتدائي
2,AGR0701,زراعة الخضروات ,2,12,الطور الابتدائي
3,AGR0702,زراعة الأشجار الُمُـثـمرة ,2,12,الطور الابتدائي
4,AGR0703,البـسـتـنـة ,2,12,الطور الابتدائي
5,AGR0704,الزراعات الكبـرى ,2,12,الطور الابتدائي
6,AGR0705,الزراعــات الصحراوية ,2,12,الطور الابتدائي
7,AGR0706,المشتـلـة ,2,12,الطور الابتدائي
8,AGR1203,زراعة الحبــوب ,2,12,الطور الابتدائي
9,AGR1205,زراعة الكـروم ,2,12,الطور الابتدائي
10,AGR1206,زراعة الغابـات ,2,12,الطور الابتدائي
11,AGR1207,"زراعة النباتات الطبية ،العطرية و الأعشاب ",2,12,الطور الابتدائي
12,AGR1902,زراعة النخيل    ,2,12,الطور الابتدائي
13,AGR1903,تركيب وصيانة العشب الرياضي  ,5,30,الثالثة ثانوي
14,AGR0719,البستنـة والمساحـات الخضـراء ,3,12,الطور الابتدائي
15,AGR0708,زراعة الخضــروات ,4,24,الثانية ثانوي
16,AGR0709,زراعـة الأشجـار الُمُـثمـرة ,5,30,الثالثة ثانوي
17,AGR0710,مُـصـمّـم البسـاتين ,5,30,الثالثة ثانوي
18,AGR0711,الزراعات الكبـرى ,5,30,الثالثة ثانوي
19,AGR0712,حمـايـة النبـاتات ,5,30,الثالثة ثانوي
20,AGR1210,زراعة الكـروم ,5,30,الثالثة ثانوي
21,AGR1211,زراعة الغابات ,5,30,الثالثة ثانوي
22,AGR1212,"زراعة النباتات الطبية ،العطرية و الأعشاب  ",5,30,الثالثة ثانوي
23,AGR1213,زراعة النخيل ,5,30,الثالثة ثانوي
24,AGR2121,تـربيـة الـدواجـن ,1,12,الطور الابتدائي
25,AGR2121,تـربية الأرانـب ,1,12,الطور الابتدائي
26,AGR1201,تـربية الإبــل ,1,12,بدون مستوى
27,AGR1202,حــالب الأبقــار ,1,12,الطور الابتدائي
28,AGR0713,تـربية النحـل ,2,12,الطور الابتدائي
29,AGR0714,تـربية الحيوانات المجترة ,2,12,الطور الابتدائي
30,AGR0715,تـربية الحيوانات الصغيرة ,2,12,الطور الابتدائي
31,AGR0707,تـربية الخيول ,2,12,الطور الابتدائي
32,AGR1208,تـربية الأبـقــار ,2,12,الطور الابتدائي
33,AGR1209,تـربية الأغنــام والمعــز ,2,12,الطور الابتدائي
34,AGR0716,الإنتاج الحيواني / خيار: تـربية الحيوانات المجتـرة  ,5,30,الثالثة ثانوي
35,AGR0717,الإنتاج الحيواني / خيار: تـربية الحيوانات الصغيرة ,5,30,الثالثة ثانوي
36,AGR0718,مساعد في الصحــة الحيوانية ,5,30,الثالثة ثانوي
1,AIG0701,تشغيل آلات الطبع هيليو ,2,12,الرابعة متوسط
2,AIG0702,تشغيل آلات الطبع فليكسو ,2,12,الرابعة متوسط
3,AIG0703,تشغيل آلات الطبع أوفست ,2,12,الرابعة متوسط
4,AIG0704,تشغيل آلات التجليد الصناعي  ,3,18,الرابعة متوسط
5,AIG0705,الطبع الحريري,3,18,الرابعة متوسط
6,AIG1201,تشغيل وسائل الطبع / خيار: فليكسو و هيليو,3,18,الرابعة متوسط
