number,code,name,qualification,duration,conditions,,,,,
2,ART0702,الحدادة الفنٌة ,2,12,الطور الابتدائي,,,,,
12,BTP0706,التركٌب الصحً و الغـاز ,2,12,الرابعة متوسط,,,,,
3,CML0701,تلحٌم ,2,12,الطور المتوسط,,,,,
1,ELE0701,كهرباء السٌٌارات ,2,12,الرابعة متوسط,,,,,
3,ELE0703,الكهرباء المعمارٌٌة ,2,12,الرابعة متوسط,,,,,
5,ELE0704,تركٌب و صٌٌانة أجهزة التبرٌد و التكالتكٌٌفٌف ,3,18,الرابعة متوسط,,,,,
3,HRT0703,الإطعام / خيار8 الطبخ التقلٌدي ,2,12,الطور الابتدائي,,,,,
4,HRT0704,الإطعام / خيار 8 الطبخ الجماعً  ,2,12,الرابعة متوسط,,,,,
2,INT1202,عـامــــــل فً المٌكـــرو معلـوماتٌـــة ,3,18,الرابعة متوسط,,,,,
4,INT0701,ُمُستغل المعلوماتٌة ,4,24,الثانية ثانوي,,,,,
6,INT1204,إعلام آلً / خيار 8 البرمـــجة ,4,24,الثانية ثانوي,,,,,
1,MEE2103,تس ٌر وفرز النفاٌٌات ,1,12,بدون مستوى,,,,,
3,MEE1804,الصرف الصحً وجمع النفاٌٌات الخاصة ,2,12,الطور الابتدائي,,,,,
11,MES0709,تجمٌل و حلاقة ,5,30,الثالثة ثانوي,,,,,
8,MME0707,قٌادة و صٌانة آلٌات الورشات ,2,12,الطور الابتدائي,,,,,
2,TAG1202,"مساعد تقنً متخصص فً المكتبات، التوثٌق و الأرشٌف ",2,12,الرابعة متوسط,,,,,
3,TAG0701,أمٌن مخزن ,2,12,الرابعة متوسط,,,,,
4,TAG1203,عون ادراج المعلومات ,2,12,الرابعة متوسط,,,,,
5,TAG0702,المحاسبة ,3,18,الرابعة متوسط,,,,,
7,TAG0704,التؤمٌٌنات ,3,18,الرابعة متوسط,,,,,
8,TAG0705,الأمانة ,3,18,الرابعة متوسط,,,,,
25,TAG0714,المحاسبة و التسٌ ٌر ,5,30,الثالثة ثانوي,,,,,
27,TAG0716,التؤمٌٌنات ,5,30,الثالثة ثانوي,,,,,
13,THC0701,الخـٌـاطــة ,2,12,الرابعة متوسط,,,,,
